symbol,timeframe,openTime,open,high,low,close,volume
XAUUSD,M15,2025-01-01T01:00:00,2650.0,2652.85,2648.45,2652.38,2191.75
XAUUSD,M15,2025-01-01T01:15:00,2652.38,2652.94,2651.49,2652.75,574.49
XAUUSD,M15,2025-01-01T01:30:00,2652.75,2653.17,2650.69,2652.06,1862.35
XAUUSD,M15,2025-01-01T01:45:00,2652.06,2653.29,2650.33,2652.03,516.25
XAUUSD,M15,2025-01-01T02:00:00,2652.03,2652.36,2649.15,2651.16,1341.49
XAUUSD,M15,2025-01-01T02:15:00,2651.16,2651.36,2646.78,2648.56,2009.32
XAUUSD,M15,2025-01-01T02:30:00,2648.56,2650.61,2647.3,2648.09,1880.1
XAUUSD,M15,2025-01-01T02:45:00,2648.09,2649.39,2642.59,2644.4,1943.38
XAUUSD,M15,2025-01-01T03:00:00,2644.4,2647.08,2644.24,2646.47,1081.98
XAUUSD,M15,2025-01-01T03:15:00,2646.47,2647.67,2645.14,2647.09,1412.08
XAUUSD,M15,2025-01-01T03:30:00,2647.09,2649.65,2645.73,2647.68,2022.83
XAUUSD,M15,2025-01-01T03:45:00,2647.68,2651.5,2647.34,2649.97,1448.64
XAUUSD,M15,2025-01-01T04:00:00,2649.97,2651.41,2645.76,2647.53,2440.0
XAUUSD,M15,2025-01-01T04:15:00,2647.53,2647.6,2643.92,2644.58,1169.35
XAUUSD,M15,2025-01-01T04:30:00,2644.58,2650.99,2643.21,2650.33,1489.08
XAUUSD,M15,2025-01-01T04:45:00,2650.33,2651.29,2647.62,2648.17,1116.57
XAUUSD,M15,2025-01-01T05:00:00,2648.17,2650.06,2647.02,2647.86,1048.3
XAUUSD,M15,2025-01-01T05:15:00,2647.86,2652.89,2647.67,2651.82,617.79
XAUUSD,M15,2025-01-01T05:30:00,2651.82,2652.71,2647.99,2648.12,1454.05
XAUUSD,M15,2025-01-01T05:45:00,2648.12,2649.23,2642.26,2644.3,2651.95
XAUUSD,M15,2025-01-01T06:00:00,2644.3,2645.43,2642.91,2643.47,2102.4
XAUUSD,M15,2025-01-01T06:15:00,2643.47,2644.39,2638.06,2639.01,2884.54
XAUUSD,M15,2025-01-01T06:30:00,2639.01,2639.39,2636.8,2638.72,2676.3
XAUUSD,M15,2025-01-01T06:45:00,2638.72,2643.58,2637.44,2642.24,882.1
XAUUSD,M15,2025-01-01T07:00:00,2642.24,2643.35,2637.19,2637.19,1310.39
XAUUSD,M15,2025-01-01T07:15:00,2637.19,2639.14,2634.07,2635.92,2579.16
